instance_account_id,instance_account_name,created_timestamp,tickets_update_limit,tickets_update_used,errors_429_count
594892,Snapchat,2014-10-07 19:01:13,300,647,158806
957089,PLM Group Customer Support,2016-03-12 08:12:25,100,405,87525
2134345,Moon Active,2017-11-17 11:54:38,300,674,54931
2170787,Compliance Operations,2017-12-20 18:25:08,100,346,40715
2457617,Guardio,2018-10-02 07:59:12,300,305,39889
2016348,Etsy,2017-08-17 19:28:28,2000,1066,33302
1986480,Stanley Black & Decker,2017-07-24 19:22:09,300,1852,24630
26563,Roblox,2010-02-11 23:47:01,300,432,22157
9106476,Papaya,2019-01-13 08:41:57,300,762,21017
1937944,Omada Health,2017-06-13 21:27:07,300,496,18734
603258,JUST EAT Ireland,2014-10-23 11:20:32,300,1667,16802
795717,GCash Support,2015-08-18 09:28:21,2000,584,14090
9079190,Attentive,2018-12-20 15:42:39,100,666,13371
634376,Datadog,2014-12-17 20:41:32,300,2255,13366
527873,Contabilizei Contabilidade Online,2014-05-18 16:37:15,300,759,12897
2378907,ApsunFit,2018-07-28 01:04:37,100,417,12730
1876063,Remotasks,2017-05-01 18:11:53,100,308,11592
1470967,Uber Freight,2017-01-31 01:06:16,3000,832,11300
582325,OneNet Support,2014-09-15 04:40:30,100,549,10725
1036025,Arctic Wolf Networks SANDBOX,2016-06-15 14:00:03,20,702,10353
1381317,Just Eat Italy,2017-01-18 09:08:31,2000,1869,10190
9242688,Clipboard Health,2019-04-15 21:08:31,300,1637,9857
9266575,Collective Health,2019-05-03 23:05:07,300,397,9181
582573,Dialpad,2014-09-15 15:23:40,100,573,8236
1876045,Lyft,2017-05-01 17:59:38,600,301,7577
9327699,Support,2019-06-17 15:12:59,100,694,6917
371365,Kraken Support,2013-08-28 23:20:43,300,1454,6596
9239643,Oura Ring,2019-04-13 01:08:37,300,1881,6281
2025193,Customer Support,2017-08-25 13:17:05,100,346,6157
631443,Nutrient,2014-12-12 10:23:02,100,400,6035
2196395,Aila Technologies,2018-01-17 18:17:18,100,430,5795
38806,Fiverr Customer Support,2010-06-19 05:29:01,100,375,5741
1929170,nShift,2017-06-07 12:41:04,100,699,5695
5194,Twilio,2008-09-26 20:45:50,300,789,5343
2023916,CTM Ticket Portal,2017-08-24 12:57:37,100,395,5291
1281259,Plarium Support Center,2016-11-08 10:06:05,100,323,5150
162971,Player Experience,2012-05-18 09:57:24,100,1729,5085
587240,Omio Service,2014-09-24 09:44:16,100,626,4820
2144289,Atendimento Loja Electrolux,2017-11-27 19:58:40,100,727,4510
2357269,Upcoop,2018-06-28 09:25:06,300,373,4353
941346,Brevo,2016-02-23 17:20:06,300,634,4344
9171351,TomTom,2019-02-25 13:55:53,100,636,4311
9193528,Foot Locker,2019-03-12 19:29:46,300,780,3703
321561,Deporvillage,2013-07-19 15:09:55,100,328,3695
1258405,Privacy,2016-10-19 23:04:26,100,570,3491
2283872,DSI Systems Inc,2018-04-11 12:44:27,100,701,3233
9504,Dropbox Support,2009-03-31 02:37:23,2000,1944,3109
749863,Perk,2015-06-09 14:04:45,300,3765,3037
1235726,Customer Support,2016-10-10 10:41:08,100,392,2736
2261175,Stickerbeat,2018-03-20 16:22:20,100,401,2436
2363060,Magazine Luiza,2018-07-03 14:19:18,2000,2000,2305
625143,Fibrenoire,2014-12-02 02:00:24,100,326,2304
566311,Findmypast ,2014-08-12 14:00:28,100,598,2237
555292,Postman,2014-07-17 14:01:32,100,611,2209
2292546,Candivore,2018-04-19 14:54:43,100,400,1809
2363712,Codefresh,2018-07-01 12:21:18,100,534,1809
9049451,Manual,2018-11-28 17:36:24,300,348,1722
2123757,Evident,2017-11-08 16:53:49,100,396,1669
245528,AppsFlyer Support,2012-12-25 19:46:42,100,386,1568
958463,QuintoAndar.com,2016-03-14 14:53:57,1500,670,1547
489599,Just Eat UK,2014-02-18 14:32:37,600,324,1477
2359162,Ticketmaster,2018-06-26 16:16:46,300,377,1462
712357,Optimum,2015-04-14 17:36:06,100,577,1426
9326833,Renner,2019-06-19 14:20:54,300,1036,1357
636395,CD Baby,2014-12-22 21:13:19,100,704,1273
2157161,sahibinden.com,2017-12-08 11:38:25,300,596,1235
1565918,Talkspace Support,2017-02-27 20:32:14,100,333,1210
2078614,"hims, inc.",2017-10-06 00:31:33,100,305,1134
9320628,Moderator Sushant,2019-06-12 16:29:00,100,700,1045
2349206,Epoca Cosmeticos,2018-06-18 14:00:09,300,2501,1042
1407322,TradeInn,2017-01-25 16:29:29,2000,315,987
690439,fonQ,2015-03-13 15:05:38,100,408,906
1331776,Bruno Fritsch,2016-12-22 14:26:48,300,462,903
1406013,Sprinklr,2017-01-20 15:44:48,100,400,903
700934,Outreach,2015-03-28 18:38:28,100,418,892
303389,Haley Marketing Group,2013-06-12 01:19:51,100,328,824
1851374,Conta Azul,2017-04-12 22:43:00,300,588,814
717332,tumblr,2015-04-21 18:47:29,100,628,811
510960,ProtonMail,2014-04-07 16:17:33,100,312,800
1024340,Calendly,2016-06-01 04:21:04,300,335,727
1202016,Northwestern Mutual Help Center,2016-09-21 19:30:29,300,340,727
157948,Support Portal,2012-04-30 11:43:26,100,311,678
473962,- 🇧🇷 -,2014-01-14 19:05:32,4000,827,671
2128922,Breuninger,2017-11-17 15:30:58,300,394,623
2271288,Taptap Send,2018-04-11 22:31:57,300,2045,605
575032,Shippo,2014-08-29 21:26:56,100,352,580
1920221,Generation Tux,2017-05-31 20:10:57,100,400,551
712989,Cloudbeds,2015-04-15 13:33:24,100,612,543
61840,Rockstar Support,2010-12-21 23:22:13,2000,1004,516
1150442,Cloudflare,2016-08-26 22:27:24,100,400,515
9003997,HireVue,2018-10-29 19:29:04,100,701,491
1608747,Spot,2017-03-15 15:04:49,100,639,473
1593505,HealthTap,2017-03-07 18:16:38,300,325,468
795890,Polar Care,2015-08-18 12:55:09,100,342,466
138842,Slack,2012-02-17 18:26:44,2000,386,459
990943,Momox,2016-04-20 10:16:55,100,331,448
196574,PastBook,2012-07-28 12:33:58,100,369,434
957663,ServiceMarket,2016-03-13 10:11:59,100,307,428
831517,Twilio SANDBOX,2015-10-06 23:20:14,100,465,426
946230,Greenlight Planet,2016-02-29 07:42:39,300,353,420
354735,ACERTUS,2013-08-16 14:50:54,100,441,412
1509203,Enumerate,2017-02-15 20:06:36,100,343,401
463898,Trek10,2013-12-13 20:40:28,100,400,394
61229,VPN Support,2010-12-16 15:29:01,100,588,372
653112,Loggi,2015-01-23 15:48:12,4000,307,370
453358,KnowBe4,2013-11-19 14:42:00,300,323,361
9051599,SwissBorg,2018-11-29 23:30:24,100,303,328
2000676,Plaid,2017-08-03 20:05:58,300,451,325
122906,Rover.com Support,2011-12-14 17:49:25,100,427,324
11290,Upwork Help,2009-05-26 17:40:50,1500,618,321
1046214,Solink,2016-06-24 19:54:25,100,308,316
2404177,OSL Retail Services Inc.,2018-08-08 19:03:12,100,404,306
2305626,Trextel,2018-05-02 16:23:41,100,315,305
2219506,Workwell,2018-02-08 18:19:17,100,317,270
1866775,Prijsvrij Vakanties,2017-04-24 15:04:14,100,344,270
302220,Arctic Wolf Networks,2013-06-08 03:57:22,300,304,269
9078938,Wakie Support Team,2018-12-20 11:40:05,100,317,267
1957445,MILES,2017-07-04 10:19:33,300,600,236
2037493,Exelot ltd,2017-09-05 12:27:12,100,342,232
923210,Furbo,2016-02-03 10:18:16,100,333,212
9338377,CARET Support,2019-06-24 20:27:27,100,664,209
780261,Tesco Support,2015-07-25 17:01:55,300,416,182
387947,Safeguard Global,2013-09-11 14:32:16,300,2500,175
125350,Withings,2011-12-29 13:38:04,100,334,165
