INSTANCE_ACCOUNT_ID,INSTANCE_ACCOUNT_NAME,CREATED_TIMESTAMP,TICKETS_UPDATE_LIMIT,TICKETS_UPDATE_USED,ERRORS_429_COUNT
544787,Support,2014-06-24T13:41:57,100,392,18
9242688,Clipboard Health,2019-04-15T21:08:31,300,1637,9857
9103668,Jet Linx Aviation,2019-01-10T20:14:12,100,334,144
631443,Nutrient,2014-12-12T10:23:02,100,400,6035
66681,GitHub Support,2011-01-30T05:05:19,300,624,6
2404177,OSL Retail Services Inc.,2018-08-08T19:03:12,100,404,306
22305,doctorSIM,2009-12-18T10:44:30,2000,305,93
655184,RentalCover.com,2015-01-27T05:43:17,100,341,31
9192335,Ingram Micro,2019-03-12T12:26:01,300,336,11
527873,Contabilizei Contabilidade Online,2014-05-18T16:37:15,300,759,12897
453358,KnowBe4,2013-11-19T14:42:00,300,323,361
566583,myKaarma,2014-08-12T23:34:11,100,346,79
705372,AppZen Support,2015-04-04T00:41:22,100,303,38
321561,Deporvillage,2013-07-19T15:09:55,100,328,3695
1036025,Arctic Wolf Networks SANDBOX,2016-06-15T14:00:03,20,702,10353
125350,Withings,2011-12-29T13:38:04,100,334,165
2363712,Codefresh,2018-07-01T12:21:18,100,534,1809
9320628,Moderator Sushant,2019-06-12T16:29:00,100,700,1045
712357,Optimum,2015-04-14T17:36:06,100,577,1426
700934,Outreach,2015-03-28T18:38:28,100,418,892
9049451,Manual,2018-11-28T17:36:24,300,348,1722
1957940,Bird,2017-06-29T15:31:03,100,424,29
1937944,Omada Health,2017-06-13T21:27:07,300,496,18734
957089,PLM Group Customer Support,2016-03-12T08:12:25,100,405,87525
2170787,Compliance Operations,2017-12-20T18:25:08,100,346,40715
1098969,Celigo,2016-08-15T13:50:12,100,317,60
1381317,Just Eat Italy,2017-01-18T09:08:31,2000,1869,10190
885480,Personio,2015-12-17T23:07:06,300,319,1
489599,Just Eat UK,2014-02-18T14:32:37,600,324,1477
2148950,Ryanair,2017-12-01T09:31:39,300,379,19
1052279,Angel Flight West,2016-06-30T21:58:07,100,389,40
9211599,Cloud Conformity,2019-03-26T03:18:39,100,700,90
2123757,Evident,2017-11-08T16:53:49,100,396,1669
923210,Furbo,2016-02-03T10:18:16,100,333,212
1866775,Prijsvrij Vakanties,2017-04-24T15:04:14,100,344,270
1281259,Plarium Support Center,2016-11-08T10:06:05,100,323,5150
61229,VPN Support,2010-12-16T15:29:01,100,588,372
2128922,Breuninger,2017-11-17T15:30:58,300,394,623
196574,PastBook,2012-07-28T12:33:58,100,369,434
2144289,Atendimento Loja Electrolux,2017-11-27T19:58:40,100,727,4510
2037493,Exelot ltd,2017-09-05T12:27:12,100,342,232
1876045,Lyft,2017-05-01T17:59:38,600,301,7577
2349206,Epoca Cosmeticos,2018-06-18T14:00:09,300,2501,1042
9339968,iupp,2019-06-27T18:51:40,300,1115,56
212452,Wahoo Fitness Support,2012-09-14T18:26:29,100,699,18
1202839,group.one,2016-09-22T09:55:01,300,385,4
2292546,Candivore,2018-04-19T14:54:43,100,400,1809
1046214,Solink,2016-06-24T19:54:25,100,308,316
2161810,HyperJar,2017-12-12T19:54:16,100,460,18
1277194,6TOUR,2016-11-04T09:13:04,100,392,161
1331776,Bruno Fritsch,2016-12-22T14:26:48,300,462,903
61840,Rockstar Support,2010-12-21T23:22:13,2000,1004,516
9327699,Support,2019-06-17T15:12:59,100,694,6917
2016348,Etsy,2017-08-17T19:28:28,2000,1066,33302
575032,Shippo,2014-08-29T21:26:56,100,352,580
2283872,DSI Systems Inc,2018-04-11T12:44:27,100,701,3233
236789,RedWeek Customer Service,2012-11-27T19:35:39,100,347,20
555292,Postman,2014-07-17T14:01:32,100,611,2209
1608747,Spot,2017-03-15T15:04:49,100,639,473
780261,Tesco Support,2015-07-25T17:01:55,300,416,182
690439,fonQ,2015-03-13T15:05:38,100,408,906
795890,Polar Care,2015-08-18T12:55:09,100,342,466
2226511,iHerb,2018-02-15T23:37:11,100,508,69
974221,Cabify Support,2016-03-31T09:30:41,300,361,140
122906,Rover.com Support,2011-12-14T17:49:25,100,427,324
888863,monday.com,2015-12-22T16:07:49,300,1752,67
258183,eShopWorld ,2013-01-31T10:37:33,100,701,78
1470967,Uber Freight,2017-01-31T01:06:16,3000,832,11300
463898,Trek10,2013-12-13T20:40:28,100,400,394
2000676,Plaid,2017-08-03T20:05:58,300,451,325
1135018,ITRS,2016-08-23T13:49:40,100,322,116
9106476,Papaya,2019-01-13T08:41:57,300,762,21017
2003758,Hollywoodbets,2017-08-07T11:10:26,100,764,59
2280987,AirDroid Support,2018-04-11T05:44:00,100,314,57
9336876,SharkNinja,2019-06-24T08:59:17,300,363,12
2066120,ESPN,2017-09-26T15:52:40,300,369,15
