INSTANCE_ACCOUNT_ID,INSTANCE_ACCOUNT_SUBDOMAIN,INSTANCE_ACCOUNT_POD_ID,SUBSCRIPTION_RATE_LIMIT,TICKETS_UPDATE_LIMIT,PER_TICKET_UPDATES_LIMIT,INFLIGHT_JOBS_LIMIT,INCREMENTAL_EXPORTS_LIMIT,SUBSCRIPTION_RATE_USED,TICKETS_UPDATE_USED,ERRORS_429_COUNT,has_hvapi,support_plan,is_sandbox,plan_tier,concern_level
9077126,coupangcustomersupport,pod25,25000,5000,30,100,30,6602,664,59,1,Enterprise,0,Enterprise (HVAPI),HIGH
655155,grubhub,pod20,10000,24000,30,30,30,3061,272,0,1,Enterprise,0,Enterprise (HVAPI),HIGH
10557657,support,pod26,10000,9000,30,50,30,269,121,0,1,Enterprise,0,Enterprise (HVAPI),HIGH
11041475,coupangeatsoperations,pod25,10000,3000,30,30,30,1952,766,0,1,Enterprise,0,Enterprise (HVAPI),HIGH
11478963,canvateam,pod15,6500,600,30,,45,2293,90,0,1,Enterprise,0,Enterprise (HVAPI),HIGH
9390984,takeaway,pod17,5000,2000,30,45,30,534,10,75,1,Enterprise,0,Enterprise (HVAPI),HIGH
61840,rockstarsupport,pod19,5000,2000,30,,30,653,84,1,1,Enterprise,0,Enterprise (HVAPI),HIGH
781284,chime,pod23,5000,2000,30,30,45,1587,490,0,1,Enterprise,0,Enterprise (HVAPI),HIGH
10102607,gvc,pod17,5000,1000,30,30,30,1446,100,0,1,Enterprise,0,Enterprise (HVAPI),HIGH
10404715,betmgm,pod20,5000,1000,30,30,30,606,85,0,1,Enterprise,0,Enterprise (HVAPI),HIGH
16237142,daznsupport,pod29,5000,600,30,,10,761,180,0,0,Enterprise,0,Enterprise (no HVAPI),HIGH
21473443,bet365cx,pod28,5000,600,30,30,,1896,122,0,1,Enterprise,0,Enterprise (HVAPI),HIGH
10088868,ab-inbevbr,pod23,5000,300,30,,30,110,27,0,1,Enterprise,0,Enterprise (HVAPI),HIGH
10896161,rocketnow,pod25,5000,300,30,,30,467,156,0,1,Enterprise,0,Enterprise (HVAPI),HIGH
749863,travelperk,pod28,5000,300,30,30,30,824,272,2,1,Enterprise,0,Enterprise (HVAPI),HIGH
21321137,ryze,pod20,5000,300,30,30,50,2221,49,0,1,Enterprise,0,Enterprise (HVAPI),HIGH
479262,proctorio,pod13,5000,300,30,,,719,7,0,1,Professional,0,Enterprise (HVAPI),HIGH
950185,lemonadehelp,pod23,5000,300,30,30,30,421,25,0,1,Enterprise,0,Enterprise (HVAPI),HIGH
9049502,logitech,pod23,5000,300,30,30,,646,176,0,1,Enterprise,0,Enterprise (HVAPI),HIGH
678183,hammerandchisel,pod23,5000,300,30,30,30,4724,103,0,1,Enterprise,0,Enterprise (HVAPI),HIGH
11542602,coupangfc,pod25,5000,300,30,,30,1709,86,0,1,Enterprise,0,Enterprise (HVAPI),HIGH
9747139,ab-inbevdr,pod23,5000,300,30,,30,314,1,0,1,Enterprise,0,Enterprise (HVAPI),HIGH
10934316,coupangtw,pod25,5000,300,30,30,30,1274,207,0,1,Enterprise,0,Enterprise (HVAPI),HIGH
19152078,coupangtwfc,pod25,5000,,,,,3,,0,1,Enterprise,0,Enterprise (HVAPI),HIGH
473962,nubank,pod19,4000,4000,30,30,30,3779,127,0,1,Enterprise,0,Enterprise (HVAPI),HIGH
978257,clearbit,pod23,4000,,,,,196,,0,0,Professional,0,Professional,HIGH
14426656,justeat,pod29,4000,,,,,1,,0,1,Enterprise,0,Enterprise (HVAPI),HIGH
11165451,next,pod17,3750,550,30,,30,109,21,0,1,Enterprise,0,Enterprise (HVAPI),HIGH
888110,totvssuporte,pod23,3500,5000,30,30,30,529,145,0,1,Enterprise,0,Enterprise (HVAPI),HIGH
14949990,getyourguidesupport,pod29,3500,300,30,30,30,844,74,0,1,Enterprise,0,Enterprise (HVAPI),HIGH
9450393,findheadway,pod20,3500,300,30,50,30,2321,74,0,1,Enterprise,0,Enterprise (HVAPI),HIGH
9504,dropbox,pod13,3000,2000,30,30,30,321,115,0,1,Enterprise,0,Enterprise (HVAPI),HIGH
11852402,campbellscare,pod23,3000,300,30,,,142,126,0,1,Enterprise,0,Enterprise (HVAPI),HIGH
1957940,bird,pod20,3000,100,30,30,10,245,15,0,0,Enterprise,0,Enterprise (no HVAPI),HIGH
2195342,waterbears-z3n-dev,pod26,3000,,,,,2,,0,1,Enterprise,0,Enterprise (HVAPI),HIGH
761341,casounico,pod19,2500,6000,30,30,,401,246,112,1,Enterprise,0,Enterprise (HVAPI),HIGH
238765,shopify,pod13,2500,5000,30,30,,438,103,0,1,Enterprise,0,Enterprise (HVAPI),HIGH
34989,ubercab,pod20,2500,4000,30,,,7,3,0,1,Enterprise,0,Enterprise (HVAPI),HIGH
662885,deliveroo,pod17,2500,3000,30,30,30,1781,5,0,1,Enterprise,0,Enterprise (HVAPI),HIGH
1470967,uberfreight,pod19,2500,3000,30,30,,2115,124,3,1,Enterprise,0,Enterprise (HVAPI),HIGH
795717,gcash,pod25,2500,2000,30,30,,959,517,0,1,Enterprise,0,Enterprise (HVAPI),HIGH
138842,slack,pod19,2500,2000,60,30,30,851,79,0,1,Enterprise,0,Enterprise (HVAPI),HIGH
1900697,mediaoceanhelp,pod23,2500,2000,30,,30,90,12,0,1,Enterprise,0,Enterprise (HVAPI),HIGH
