INSTANCE_ACCOUNT_ID,INSTANCE_ACCOUNT_SUBDOMAIN,INSTANCE_ACCOUNT_POD_ID,SUBSCRIPTION_RATE_LIMIT,TICKETS_UPDATE_LIMIT,PER_TICKET_UPDATES_LIMIT,INFLIGHT_JOBS_LIMIT,INCREMENTAL_EXPORTS_LIMIT,SUBSCRIPTION_RATE_USED,TICKETS_UPDATE_USED,ERRORS_429_COUNT,has_hvapi,support_plan,is_sandbox,plan_tier,concern_level
26182397,chime1771445669,pod23,10000,,,,,2,,0,0,Unknown,1,Unknown,HIGH
9555850,coupangcustomersupport1573078835,pod25,10000,,,,30,9,,0,0,Unknown,1,Unknown,HIGH
24447294,chime1741195854,pod23,10000,,,,,93,,0,0,Unknown,1,Unknown,HIGH
21745757,chime1722532447,pod23,10000,,,,,222,,0,0,Unknown,1,Unknown,HIGH
25488214,bet365cx1751971501,pod28,5000,100,30,,,4,1,0,0,Unknown,1,Unknown,HIGH
26602465,ryze1781030838,pod20,5000,,,,50,1,,0,0,Unknown,1,Unknown,HIGH
11874142,logitech1640183673,pod23,5000,,,,30,8,,0,0,Unknown,1,Unknown,HIGH
25090640,society1747104224,pod26,5000,,,,30,2,,0,0,Unknown,1,Unknown,HIGH
25809017,logitech1760030431,pod23,5000,,,,,4,,0,0,Unknown,1,Unknown,HIGH
10816463,abinbevdr1617817948,pod23,5000,,,,30,213,,0,0,Unknown,1,Unknown,HIGH
11727334,nubank1637690974,pod19,4000,,,,,24,,0,0,Unknown,1,Unknown,HIGH
25790608,everlywell1759501296,pod20,3500,,,75,,5,,0,0,Unknown,1,Unknown,HIGH
26288298,takeaway1773933034,pod17,3500,,,,,0,,0,0,Unknown,1,Unknown,HIGH
938267,grubhub1455899326,pod20,3000,12000,30,,30,1210,1,0,0,Unknown,1,Unknown,HIGH
9625281,ubercab1576710218,pod20,2500,4000,30,,,5,1,0,0,Unknown,1,Unknown,HIGH
9571067,prodegesupport1573854680,pod20,700,2000,30,,,4,1,0,0,Unknown,1,Unknown,HIGH
19476870,activecampaigninc1702939978,pod28,700,2000,30,,,3,1,0,0,Unknown,1,Unknown,HIGH
20023946,gocareem1708087030,pod19,700,4000,30,,,5,1,0,0,Unknown,1,Unknown,HIGH
26041013,pixartprinting1767367577,pod18,700,20,45,,,4,1,0,0,Unknown,1,Unknown,HIGH
19806294,tmobilehrhelp1706049351,pod20,2500,,,,,8,,0,0,Unknown,1,Unknown,MEDIUM
23614872,fhcustomercare1734019884,pod23,2500,,,,30,20,,0,0,Unknown,1,Unknown,MEDIUM
26654791,ilemployeehub1782757548,pod20,2500,,,,,1,,0,0,Unknown,1,Unknown,MEDIUM
26604102,medlineindiaexpensereporting1781074627,pod27,2500,,,,,1,,0,0,Unknown,1,Unknown,MEDIUM
15811894,intralinks1670875489,pod27,2500,100,30,,,10,1,0,0,Unknown,1,Unknown,MEDIUM
25965535,holman47651764756001,pod17,2500,,,,,8,,0,0,Unknown,1,Unknown,MEDIUM
16661739,pasendemo1678220259,pod23,2500,,,,,56,,0,0,Unknown,1,Unknown,MEDIUM
16689342,abinbevde1678452491,pod20,2500,,,,30,49,,0,0,Unknown,1,Unknown,MEDIUM
26437162,movilepay1777415846,pod13,2500,,,,,9,,0,0,Unknown,1,Unknown,MEDIUM
686668,justeatie1425772459,pod17,2500,,,30,,5,,0,0,Unknown,1,Unknown,MEDIUM
18734630,daznbet1696156738,pod29,2500,,,,,2,,0,0,Unknown,1,Unknown,MEDIUM
26573995,pdishadowrock1780417154,pod20,2500,,,,,1,,0,0,Unknown,1,Unknown,MEDIUM
16943469,topperpay1680620828,pod28,2500,,,,,50,,0,0,Unknown,1,Unknown,MEDIUM
26398875,kingcare1776341139,pod29,2500,,,,,21,,0,0,Unknown,1,Unknown,MEDIUM
19681589,obismarttech1704888969,pod28,2500,,,,30,209,,0,0,Unknown,1,Unknown,MEDIUM
24752569,tollbrothers1743791878,pod19,2500,,,,,77,,0,0,Unknown,1,Unknown,MEDIUM
9353639,smileshelp1562260535,pod23,2500,100,30,,,1,1,0,0,Unknown,1,Unknown,MEDIUM
1563646,justeatno1488194369,pod17,2500,,,,,1,,0,0,Unknown,1,Unknown,MEDIUM
25912326,kaseya1763046478,pod17,2500,,,,30,59,,0,0,Unknown,1,Unknown,MEDIUM
19671591,atendimentohgbrasil1704801360,pod19,2500,,,,,4,,0,0,Unknown,1,Unknown,MEDIUM
15435205,abinbevpe1667573213,pod27,2500,,,,,0,,0,0,Unknown,1,Unknown,MEDIUM
25024531,homedepotca1746456035,pod23,2500,,,,,4,,0,0,Unknown,1,Unknown,MEDIUM
18495707,espnsupport1694040516,pod20,2500,,,,,2,,0,0,Unknown,1,Unknown,MEDIUM
22246037,conbcrcx32481726685208,pod20,2500,,,,,25,,0,0,Unknown,1,Unknown,MEDIUM
9728877,lulobank1581532328,pod20,2500,,,,,57,,0,0,Unknown,1,Unknown,MEDIUM
10366312,mettle1603886501,pod28,2500,,,,,102,,0,0,Unknown,1,Unknown,MEDIUM
11967335,gsretail1641255047,pod25,2500,,,,,7,,0,0,Unknown,1,Unknown,MEDIUM
9920949,footlocker18881588969827,pod23,2500,,,,,15,,0,0,Unknown,1,Unknown,MEDIUM
9888555,medirectbank1587974674,pod18,2500,,,,,21,,0,0,Unknown,1,Unknown,MEDIUM
24180277,pdiblinkcx1738894624,pod15,2500,,,,,0,,0,0,Unknown,1,Unknown,MEDIUM
25397642,thdoccwfm1750273957,pod27,2500,,,,,4,,0,0,Unknown,1,Unknown,MEDIUM
15484816,idme1668012494,pod23,2500,,,,,1,,0,0,Unknown,1,Unknown,MEDIUM
26619945,letsdeel1781600015,pod17,2500,,,,,83,,0,0,Unknown,1,Unknown,MEDIUM
25621489,reapglobal1755072312,pod15,2500,,,30,,202,,10,0,Unknown,1,Unknown,MEDIUM
10542280,lulobank1610049328,pod20,2500,,,,,79,,0,0,Unknown,1,Unknown,MEDIUM
9929342,mendixsupport1589272511,pod28,2500,100,30,,,5,1,0,0,Unknown,1,Unknown,MEDIUM
20926355,atendimentoiupp1715980878,pod20,2500,,,,30,36,,0,0,Unknown,1,Unknown,MEDIUM
10824017,dynatrace1617992890,pod23,2500,,,,,10,,0,0,Unknown,1,Unknown,MEDIUM
24867839,leroymerlinsa1744879341,pod18,2500,,,,,4,,0,0,Unknown,1,Unknown,MEDIUM
26292771,giltsupport1774027220,pod23,2500,,,,,8,,0,0,Unknown,1,Unknown,MEDIUM
19793583,medlinecapitalequip1705935084,pod19,2500,,,,,15,,0,0,Unknown,1,Unknown,MEDIUM
26643784,conpevenpse1782376978,pod29,2500,,,,,152,,0,0,Unknown,1,Unknown,MEDIUM
26704275,backbonecustomerservice1784277655,pod28,2500,,,,,4,,0,0,Unknown,1,Unknown,MEDIUM
22162118,thdidm1725988065,pod20,2500,,,,,1,,0,0,Unknown,1,Unknown,MEDIUM
26588554,tilt1780688068,pod23,2500,100,30,,,3,2,0,0,Unknown,1,Unknown,MEDIUM
25888666,kleinanzeigenkundenservice1762334410,pod28,2500,,,,,2,,0,0,Unknown,1,Unknown,MEDIUM
10192531,machhelp1597876664,pod13,2500,,,,,1,,0,0,Unknown,1,Unknown,MEDIUM
25566618,sealysingapore1753839806,pod15,2500,,,,,1,,0,0,Unknown,1,Unknown,MEDIUM
11599692,sfs1635430274,pod17,2500,,,,,7,,0,0,Unknown,1,Unknown,MEDIUM
18369519,contranscom1692905895,pod17,2500,,,,,8,,0,0,Unknown,1,Unknown,MEDIUM
26181560,dfinservice1771429049,pod27,2500,,,,,1,,0,0,Unknown,1,Unknown,MEDIUM
23005182,levi1731012535,pod13,2500,,,,,6,,0,0,Unknown,1,Unknown,MEDIUM
15081780,indigovdev1664481449,pod23,2500,,,,,402,,0,0,Unknown,1,Unknown,MEDIUM
26678697,totvsgestao1783525764,pod19,2500,,,,,4,,0,0,Unknown,1,Unknown,MEDIUM
23952035,apexfintechsolutionshelp1736950907,pod13,2500,,,,,34,,0,0,Unknown,1,Unknown,MEDIUM
12307069,stashinvesthelp1643668500,pod20,2500,100,30,,,1,1,0,0,Unknown,1,Unknown,MEDIUM
20401572,pdipong1711440163,pod15,2500,,,,,1,,0,0,Unknown,1,Unknown,MEDIUM
25785344,totvsgestao1759331272,pod19,2500,,,,30,35,,0,0,Unknown,1,Unknown,MEDIUM
9447607,esfa1567428279,pod18,2500,,30,,,39,,0,0,Unknown,1,Unknown,MEDIUM
