INSTANCE_ACCOUNT_ID,INSTANCE_ACCOUNT_SUBDOMAIN,INSTANCE_ACCOUNT_POD_ID,SUBSCRIPTION_RATE_LIMIT,TICKETS_UPDATE_LIMIT,PER_TICKET_UPDATES_LIMIT,INFLIGHT_JOBS_LIMIT,INCREMENTAL_EXPORTS_LIMIT,SUBSCRIPTION_RATE_USED,TICKETS_UPDATE_USED,ERRORS_429_COUNT
17103354,nc-rep-gloristine-brown,pod27,2500,,,30,,122,,0
21242264,con-zeni-alpha,pod27,2500,,,,,1,,0
13783635,mnsenfateh,pod27,2500,,,30,,134,,0
11152956,difs,pod15,2500,,,,,1,,0
16256290,mddelannehealey,pod13,2500,,,,,72,,0
24070624,personio1737971787,pod29,2500,,,,30,4,,0
2180055,sfs,pod17,2500,,,,,1,,0
10618768,mirepshannon,pod23,2500,,,,,250,,0
19197977,ingrammicrosupport1700367431,pod20,2500,100,30,30,,94,36,0
11567324,flreproth,pod27,2500,,,,,170,,0
16256305,mddelctwilson,pod27,2500,,,,,72,,0
20537890,d3v-shqa,pod25,2500,300,30,30,,34,1,0
13543669,pdi-indigovmnsendev,pod13,2500,,,,,70,,0
17227010,pdi-ttecdigital,pod23,2500,,,,,0,,1
9415529,d3v-devappamondo,pod17,2500,,,,,4,,0
18899807,con-thiagoturban,pod20,2500,,,,,7,,0
19363658,apria1701893350,pod20,2500,,,,,1,,0
19019203,d3v-realconnections,pod28,2500,,,,,1,,0
10677411,mirephowell,pod23,2500,,,30,,284,,0
2329684,onlyfans,pod28,2500,300,30,,,1109,10,0
20913610,oronatest,pod29,2500,,,,,1,,0
853060,current,pod27,2500,300,30,,30,445,29,0
15765654,mirepbyrnes,pod20,2500,,,30,,106,,0
19221368,confluentusonly1700587126,pod20,2500,,,,,50,,0
14988465,montgomerycountymd-council-friedson,pod27,2500,,,30,,329,,0
9430375,picpay,pod23,2500,,,,,1,,0
17103530,nc-sen-kandie-smith,pod13,2500,,,,,190,,0
26616635,scenicaustralia,pod15,2500,,,,,2,,0
10558268,reppalmer,pod13,2500,,,,,975,,0
9625281,ubercab1576710218,pod20,2500,4000,30,,,5,1,0
15750125,repsethmagaziner,pod23,2500,300,30,30,,1294,5,0
11541370,misensantana,pod20,2500,,,30,,312,,0
19889093,inrepdistrict68-r,pod20,2500,,,,,234,,0
15750104,repkevinmullin,pod13,2500,,,,,404,,0
17103463,nc-rep-ted-davis,pod23,2500,,,,,204,,0
11314681,ab-inbevca,pod20,2500,300,30,,30,33,6,0
11567217,flrepbush,pod13,2500,,,30,,186,,0
15843776,mddelnatalieziegler,pod20,2500,,,,,70,,0
18045907,con-scxdemo,pod25,2500,,,,,1,,0
9143884,confluent1549477387,pod20,2500,,,,30,212,,0
2383795,spring,pod20,2500,300,30,30,30,587,6,0
13707540,abinbevar1652897157,pod27,2500,,,,30,189,,0
11656411,misenschmidt,pod27,2500,,,30,,209,,0
16256185,mdsenkatherineklausmeier,pod13,2500,,,,,72,,0
24636483,d3vsalto21742807822,pod19,2500,,,,,83,,0
26642353,shopily1782333135,pod23,2500,,,,,2,,0
23401944,anywhererealestate,pod20,2500,,,,,2,,0
15765677,mirepglanville,pod13,2500,,,30,,155,,0
13174591,okrepconley,pod20,2500,,,,,60,,0
9398317,acessodigitalhelp,pod20,2500,300,30,30,,48,14,0
13757754,cambridgeinternational1653311512,pod17,2500,,,,,3,,0
26446214,con-axeltelusinternational,pod27,2500,,,,,2,,0
2146629,carallel,pod19,2500,300,30,30,,29,10,0
17766604,accentsupportoffice1687744861,pod25,2500,,,,,0,,0
11567246,flrepdrake,pod20,2500,,,,,192,,0
19889030,tennesseegovernorboards,pod19,2500,,,,,11,,0
602007,pdi-imovodemo,pod18,2500,,,,,3,,0
